"id","url","image_url","latitude","longitude","scientific_name","population_id"
118561393,"https://www.inaturalist.org/observations/118561393","https://inaturalist-open-data.s3.amazonaws.com/photos/200330106/medium.jpeg",38.7886840459,-123.0288076401,"Leptosiphon androsaceus",0
118602872,"https://www.inaturalist.org/observations/118602872","https://inaturalist-open-data.s3.amazonaws.com/photos/200410203/medium.jpg",36.6149235238,-121.6981031467,"Leptosiphon androsaceus",56
118612359,"https://www.inaturalist.org/observations/118612359","https://static.inaturalist.org/photos/200425358/medium.jpg",37.2851247434,-122.1579025873,"Leptosiphon androsaceus",23
118683789,"https://www.inaturalist.org/observations/118683789","https://inaturalist-open-data.s3.amazonaws.com/photos/200552655/medium.jpg",38.037508931,-122.6224144177,"Leptosiphon androsaceus",14
118712370,"https://www.inaturalist.org/observations/118712370","https://static.inaturalist.org/photos/200604189/medium.jpeg",38.0376388889,-122.6222694444,"Leptosiphon androsaceus",14
118883202,"https://www.inaturalist.org/observations/118883202","https://inaturalist-open-data.s3.amazonaws.com/photos/200912483/medium.jpg",37.20863,-121.802895,"Leptosiphon androsaceus",16
119000316,"https://www.inaturalist.org/observations/119000316","https://inaturalist-open-data.s3.amazonaws.com/photos/201123026/medium.jpeg",38.5448194444,-123.0043916667,"Leptosiphon androsaceus",60
119000686,"https://www.inaturalist.org/observations/119000686","https://static.inaturalist.org/photos/201124167/medium.jpg",37.95992,-122.6260916667,"Leptosiphon androsaceus",6
119133683,"https://www.inaturalist.org/observations/119133683","https://inaturalist-open-data.s3.amazonaws.com/photos/201356699/medium.jpg",37.2026055556,-121.9737777778,"Leptosiphon androsaceus",29
119133685,"https://www.inaturalist.org/observations/119133685","https://inaturalist-open-data.s3.amazonaws.com/photos/201356677/medium.jpg",37.2026194444,-121.9738,"Leptosiphon androsaceus",29
119419311,"https://www.inaturalist.org/observations/119419311","https://inaturalist-open-data.s3.amazonaws.com/photos/201869854/medium.jpeg",38.0460611111,-122.6215916667,"Leptosiphon androsaceus",9
120613156,"https://www.inaturalist.org/observations/120613156","https://inaturalist-open-data.s3.amazonaws.com/photos/204023985/medium.jpg",37.99188,-122.6625616667,"Leptosiphon androsaceus",51
120613199,"https://www.inaturalist.org/observations/120613199","https://inaturalist-open-data.s3.amazonaws.com/photos/204024034/medium.jpg",37.99188,-122.66258,"Leptosiphon androsaceus",51
120852966,"https://www.inaturalist.org/observations/120852966","https://inaturalist-open-data.s3.amazonaws.com/photos/204447351/medium.jpg",37.9609533333,-122.6178966667,"Leptosiphon androsaceus",6
121366910,"https://www.inaturalist.org/observations/121366910","https://inaturalist-open-data.s3.amazonaws.com/photos/205369036/medium.jpg",37.9651366667,-122.636245,"Leptosiphon androsaceus",6
121419852,"https://www.inaturalist.org/observations/121419852","https://inaturalist-open-data.s3.amazonaws.com/photos/205461500/medium.jpg",37.962845,-122.6306216667,"Leptosiphon androsaceus",6
122755064,"https://www.inaturalist.org/observations/122755064","https://static.inaturalist.org/photos/207877422/medium.jpeg",37.9551583333,-122.6131555556,"Leptosiphon androsaceus",6
122885085,"https://www.inaturalist.org/observations/122885085","https://static.inaturalist.org/photos/208110347/medium.jpeg",37.9662916667,-122.6385638889,"Leptosiphon androsaceus",6
123449604,"https://www.inaturalist.org/observations/123449604","https://inaturalist-open-data.s3.amazonaws.com/photos/209131215/medium.jpeg",37.99192061,-122.66247113,"Leptosiphon androsaceus",51
128744948,"https://www.inaturalist.org/observations/128744948","https://inaturalist-open-data.s3.amazonaws.com/photos/218711171/medium.jpeg",38.52638151,-122.36829068,"Leptosiphon androsaceus",46
128745997,"https://www.inaturalist.org/observations/128745997","https://inaturalist-open-data.s3.amazonaws.com/photos/218713229/medium.jpeg",38.52816521,-122.36814075,"Leptosiphon androsaceus",46
130713154,"https://www.inaturalist.org/observations/130713154","https://inaturalist-open-data.s3.amazonaws.com/photos/222333265/medium.jpeg",38.00879,-122.6664983333,"Leptosiphon androsaceus",0
133292025,"https://www.inaturalist.org/observations/133292025","https://static.inaturalist.org/photos/227023108/medium.jpg",37.955795,-122.615105,"Leptosiphon androsaceus",6
142254424,"https://www.inaturalist.org/observations/142254424","https://inaturalist-open-data.s3.amazonaws.com/photos/243853230/medium.jpg",37.4639027778,-122.2749333333,"Leptosiphon androsaceus",0
144818219,"https://www.inaturalist.org/observations/144818219","https://inaturalist-open-data.s3.amazonaws.com/photos/248639166/medium.jpg",38.1317852674,-122.582929269,"Leptosiphon androsaceus",12
151455931,"https://www.inaturalist.org/observations/151455931","https://inaturalist-open-data.s3.amazonaws.com/photos/261329589/medium.jpg",37.149362,-121.7931319722,"Leptosiphon androsaceus",36
151527635,"https://www.inaturalist.org/observations/151527635","https://inaturalist-open-data.s3.amazonaws.com/photos/261460403/medium.jpg",37.1493528333,-121.7930666667,"Leptosiphon androsaceus",36
